,Source.Name,Assigned_Breach_Number,Date_Reported_To_OCA,Organization_Name,Breach_Type_Description,Breach_Occur_at_the_Reporting_Entity?,MA_Residents_Affected,SSNBreached,Account_Number_Breached,Drivers_Licenses_Breached,Credit_Debit_Numbers_Breached,Provided_Credit_Monitoring,Data_Encrypted,Mobile_Device_Lost_Stolen,Reported_Year
0,Data Breach Web Report  2020,16279,2020-01-02,North Shore Medical Center,Electronic,Yes,1.0,Yes,No,No,No,Yes,No,No,2020
1,Data Breach Web Report  2020,16280,2020-01-02,Savers Bank,Electronic,No,1.0,No,No,No,Yes,No,No,No,2020
2,Data Breach Web Report  2020,16281,2020-01-02,Mutual One Bank,Electronic,No,1.0,No,No,No,Yes,No,No,No,2020
3,Data Breach Web Report  2020,16282,2020-01-02,Main Street Bank,Electronic,No,1.0,No,No,No,Yes,No,No,No,2020
4,Data Breach Web Report  2020,16283,2020-01-02,Main Street Bank,Electronic,No,1.0,No,No,No,Yes,No,No,No,2020
5,Data Breach Web Report  2020,16287,2020-01-02,Rockland Trust Company,Electronic,Yes,1.0,No,Yes,No,No,No,No,No,2020
6,Data Breach Web Report  2020,16288,2020-01-02,"American Express Travel Related Services Company, Inc",Electronic,No,16.0,No,No,No,Yes,No,No,No,2020
7,Data Breach Web Report  2020,16289,2020-01-02,Plancorp LLC,Electronic,Yes,2.0,Yes,Yes,No,No,Yes,No,No,2020
8,Data Breach Web Report  2020,16290,2020-01-02,"American Express Travel Related Services Company, Inc.",Electronic,No,2.0,No,No,No,Yes,No,No,No,2020
9,Data Breach Web Report  2020,16291,2020-01-02,"Robbins Brothers Jewelry, Inc.",Electronic,Yes,1.0,No,No,Yes,No,Yes,No,No,2020
10,Data Breach Web Report  2020,16292,2020-01-02,"American Express Travel Related Services Company, Inc",Electronic,No,4.0,No,No,No,Yes,No,No,No,2020
11,Data Breach Web Report  2020,16295,2020-01-02,St. Mary's Credit Union,Electronic,No,1.0,No,No,No,Yes,No,No,No,2020
12,Data Breach Web Report  2020,16297,2020-01-03,City of Holyoke Gas & Electric Department,Electronic,No,2500.0,No,No,No,Yes,Yes,No,No,2020
13,Data Breach Web Report  2020,16298,2020-01-03,"Vivo Capital, LLC",Electronic,Yes,1.0,Yes,No,No,No,Yes,No,No,2020
14,Data Breach Web Report  2020,16299,2020-01-03,"States Logistics Services, Inc.",Electronic,Yes,1.0,No,Yes,No,No,Yes,No,No,2020
15,Data Breach Web Report  2020,16300,2020-01-03,Energy One Federal Credit Union,Electronic,Yes,1.0,No,Yes,No,No,No,No,No,2020
16,Data Breach Web Report  2020,16261,2020-01-03,Pacific Life Insurance Company,Electronic,No,2.0,Yes,No,No,No,Yes,No,No,2020
17,Data Breach Web Report  2020,18479,2020-01-04,Greater Atlanta Christian School,Electronic,No,1.0,Yes,No,No,No,Yes,No,No,2020
18,Data Breach Web Report  2020,18482,2020-01-04,"Florida Gulf Coast University Foundation, Inc.",Electronic,No,77.0,No,Yes,No,No,Yes,No,No,2020
19,Data Breach Web Report  2020,18474,2020-01-05,Somerset Berkley Regional High School,Electronic,Yes,85.0,Yes,No,Yes,Yes,Yes,No,No,2020
20,Data Breach Web Report  2020,16260,2020-01-05,"HelloTech, Inc.",Electronic,Yes,103.0,No,No,Yes,No,Yes,No,No,2020
21,Data Breach Web Report  2020,16301,2020-01-06,Main Street Bank,Electronic,No,1.0,No,No,No,Yes,No,No,No,2020
22,Data Breach Web Report  2020,16302,2020-01-06,Mutual One Bank,Electronic,No,1.0,No,No,No,Yes,No,No,No,2020
23,Data Breach Web Report  2020,16304,2020-01-06,AmeriSave Mortgage Corporation,Electronic,No,101.0,Yes,No,No,No,Yes,No,No,2020
24,Data Breach Web Report  2020,16305,2020-01-06,National Electrical Contractors Association,Electronic,Yes,2.0,Yes,No,No,Yes,Yes,No,No,2020
25,Data Breach Web Report  2020,16306,2020-01-06,"American Express Travel Related Services Company, Inc.",Electronic,No,242.0,No,No,No,Yes,No,No,No,2020
26,Data Breach Web Report  2020,16296,2020-01-06,St. Mary's Credit Union,Electronic,No,119.0,No,Yes,No,Yes,No,No,No,2020
27,Data Breach Web Report  2020,18545,2020-01-07,Georgetown Day School,Electronic,No,5.0,Yes,No,No,No,Yes,No,No,2020
28,Data Breach Web Report  2020,16307,2020-01-07,Owens Community College,Electronic,Yes,1.0,Yes,No,No,No,Yes,No,No,2020
29,Data Breach Web Report  2020,16308,2020-01-07,Brigham and Women's Hospital,Electronic,Yes,1.0,Yes,No,No,No,Yes,No,No,2020
30,Data Breach Web Report  2020,16311,2020-01-07,Tabor Dental Associates,Electronic,Yes,1.0,Yes,Yes,Yes,Yes,Yes,No,No,2020
31,Data Breach Web Report  2020,16314,2020-01-07,Watertown Savings Bank,Electronic,No,9.0,No,No,No,Yes,No,No,No,2020
32,Data Breach Web Report  2020,16316,2020-01-08,Mutual One Bank,Electronic,No,1.0,No,No,No,Yes,No,No,No,2020
33,Data Breach Web Report  2020,16312,2020-01-08,"American Express Travel Related Services Company, Inc.",Electronic,No,270.0,No,No,No,Yes,No,No,No,2020
34,Data Breach Web Report  2020,16321,2020-01-08,"American Express Travel Related Services Company, Inc",Electronic,No,341.0,No,No,No,Yes,No,No,No,2020
35,Data Breach Web Report  2020,16323,2020-01-08,Savers Bank,Electronic,No,2.0,No,No,No,Yes,No,No,No,2020
36,Data Breach Web Report  2020,16327,2020-01-08,The Cooperative Bank of Cape Cod,Electronic,No,550.0,No,No,No,Yes,No,No,No,2020
37,Data Breach Web Report  2020,16328,2020-01-09,National Holdings Corporation,Electronic,Yes,72.0,Yes,Yes,Yes,No,Yes,No,No,2020
38,Data Breach Web Report  2020,16324,2020-01-09,Eastern Bank,Electronic,No,158.0,No,No,No,Yes,No,No,No,2020
39,Data Breach Web Report  2020,16325,2020-01-09,American Outdoor Brands Corporation,Electronic,Yes,20.0,No,Yes,No,No,Yes,No,No,2020
40,Data Breach Web Report  2020,16326,2020-01-09,The Village Bank,Electronic,No,1.0,No,No,No,Yes,No,No,No,2020
41,Data Breach Web Report  2020,16322,2020-01-09,"SharesPost, Inc.",Electronic,Yes,100.0,Yes,Yes,No,No,Yes,No,No,2020
42,Data Breach Web Report  2020,16317,2020-01-09,Salem Five Cents Savings Bank,Electronic,No,1.0,No,No,No,Yes,No,No,No,2020
43,Data Breach Web Report  2020,16318,2020-01-09,Salem Five Cents Savings Bank,Electronic,No,6.0,No,No,No,Yes,No,No,No,2020
44,Data Breach Web Report  2020,16319,2020-01-09,The Village Bank,Electronic,No,3.0,No,No,No,Yes,No,No,No,2020
45,Data Breach Web Report  2020,16329,2020-01-10,"American Express Travel Related Services Company, Inc. and /or its Affiliates (“AXP”)",Electronic,No,5.0,No,No,No,Yes,No,No,No,2020
46,Data Breach Web Report  2020,16330,2020-01-10,The Village Bank,Electronic,No,1.0,No,No,No,Yes,No,No,No,2020
47,Data Breach Web Report  2020,16331,2020-01-10,"Gatsby Enterprises, Inc.",Electronic,Yes,10.0,Yes,No,No,No,No,No,No,2020
48,Data Breach Web Report  2020,16332,2020-01-10,The City of Dothan,Electronic,No,2.0,No,No,No,Yes,Yes,No,No,2020
49,Data Breach Web Report  2020,16333,2020-01-10,Mutual One Bank,Electronic,No,1.0,No,No,No,Yes,No,No,No,2020
50,Data Breach Web Report  2020,16334,2020-01-10,The City of Port Orange,Electronic,No,9.0,No,No,No,Yes,Yes,No,No,2020
51,Data Breach Web Report  2020,16335,2020-01-10,"Health Quest Systems, Inc.",Electronic,Yes,138.0,Yes,Yes,Yes,Yes,Yes,No,No,2020
52,Data Breach Web Report  2020,16336,2020-01-10,PIH Health,Electronic,Yes,12.0,No,No,Yes,No,No,No,No,2020
53,Data Breach Web Report  2020,16337,2020-01-13,"Swift Financial, LLC",Electronic,Yes,1.0,No,Yes,No,No,Yes,No,No,2020
54,Data Breach Web Report  2020,16338,2020-01-13,Winged Keel Group,Electronic,Yes,6.0,Yes,No,Yes,No,Yes,No,No,2020
55,Data Breach Web Report  2020,16339,2020-01-14,Decron Properties Corporation,Electronic,Yes,9.0,Yes,Yes,Yes,No,Yes,No,No,2020
56,Data Breach Web Report  2020,16340,2020-01-14,City of Bend,Electronic,No,2.0,No,No,No,Yes,Yes,No,No,2020
57,Data Breach Web Report  2020,16341,2020-01-15,Salem Five Cents Savings Bank,Electronic,No,3.0,No,No,No,Yes,No,No,No,2020
58,Data Breach Web Report  2020,16343,2020-01-15,Mutual One Bank,Electronic,No,1.0,No,No,No,Yes,No,No,No,2020
59,Data Breach Web Report  2020,16344,2020-01-15,Savers Bank,Electronic,No,1.0,No,No,No,Yes,No,No,No,2020
60,Data Breach Web Report  2020,16345,2020-01-15,"Legalinc Corporate Services, Inc.",Electronic,Yes,23.0,Yes,No,No,No,Yes,No,No,2020
61,Data Breach Web Report  2020,16346,2020-01-15,"AgencyONE, LLC",Electronic,Yes,128.0,Yes,Yes,Yes,No,Yes,No,No,2020
62,Data Breach Web Report  2020,16347,2020-01-16,Eagle Bank,Electronic,No,1.0,No,No,No,Yes,No,No,No,2020
63,Data Breach Web Report  2020,16349,2020-01-16,Massachusetts General Hospital,Electronic,Yes,1.0,No,No,No,No,No,No,No,2020
64,Data Breach Web Report  2020,16350,2020-01-16,The National Association of Manufacturers,Electronic,Yes,4.0,Yes,Yes,No,Yes,Yes,No,No,2020
65,Data Breach Web Report  2020,16351,2020-01-16,"Kayne Anderson Capital Advisors, L.P.",Electronic,Yes,4.0,Yes,No,No,No,Yes,No,No,2020
66,Data Breach Web Report  2020,16352,2020-01-16,Northerner Scandinavia AB,Electronic,Yes,42.0,No,No,No,Yes,No,No,No,2020
67,Data Breach Web Report  2020,16353,2020-01-17,THE VILLAGE BANK,Electronic,No,26.0,No,No,No,Yes,No,No,No,2020
68,Data Breach Web Report  2020,16354,2020-01-17,Eagle Bank,Electronic,No,9.0,No,No,No,Yes,No,No,No,2020
69,Data Breach Web Report  2020,16355,2020-01-17,"American Express Travel Related Services Company, Inc. and /or its Affiliates (“AXP”)",Electronic,No,36.0,No,No,No,Yes,No,No,No,2020
70,Data Breach Web Report  2020,16357,2020-01-17,Kermit Lynch Wine Merchant,Electronic,Yes,1.0,No,No,No,Yes,No,No,No,2020
71,Data Breach Web Report  2020,16358,2020-01-17,St. Marys Credit Union,Electronic,No,24.0,No,No,No,Yes,No,No,No,2020
72,Data Breach Web Report  2020,16359,2020-01-17,Main Street Bank,Electronic,No,1.0,No,No,No,Yes,No,No,No,2020
73,Data Breach Web Report  2020,16360,2020-01-17,"J.D. England Management, Inc.",Electronic,Yes,39.0,No,No,Yes,No,Yes,No,No,2020
74,Data Breach Web Report  2020,16361,2020-01-17,Mutual One Bank,Electronic,No,1.0,No,No,No,Yes,No,No,No,2020
75,Data Breach Web Report  2020,16365,2020-01-17,Honeybee Health,Electronic,Yes,22.0,No,No,No,Yes,No,No,No,2020
76,Data Breach Web Report  2020,16366,2020-01-20,Delta Dental of Massachusetts,Electronic,Yes,16.0,Yes,No,No,No,Yes,No,No,2020
77,Data Breach Web Report  2020,16367,2020-01-20,"The UPS Store, Inc.",Electronic,Yes,115.0,Yes,Yes,Yes,Yes,Yes,No,No,2020
78,Data Breach Web Report  2020,16370,2020-01-21,Main Street Bank,Electronic,No,46.0,No,No,No,Yes,No,No,No,2020
79,Data Breach Web Report  2020,16371,2020-01-21,Braintrust Software LLC dba The Braintrust Consulting Group,Electronic,Yes,2.0,No,No,No,Yes,No,No,No,2020
80,Data Breach Web Report  2020,16372,2020-01-21,Mutual One Bank,Electronic,No,7.0,No,No,No,Yes,No,No,No,2020
81,Data Breach Web Report  2020,16374,2020-01-21,"Sunshine Behavioral Health Group, LLC",Electronic,Yes,56.0,No,Yes,No,Yes,Yes,No,No,2020
82,Data Breach Web Report  2020,16378,2020-01-21,St Mary's Credit Union,Electronic,No,1.0,No,No,No,Yes,No,No,No,2020
83,Data Breach Web Report  2020,16379,2020-01-22,Dedham Savings,Electronic,No,1.0,No,No,No,Yes,No,No,No,2020
84,Data Breach Web Report  2020,16380,2020-01-22,Dedham Savings,Electronic,No,3.0,No,No,No,Yes,No,No,No,2020
85,Data Breach Web Report  2020,16381,2020-01-22,Dedham Savings,Electronic,No,1.0,No,No,No,Yes,No,No,No,2020
86,Data Breach Web Report  2020,16382,2020-01-22,Dedham Savings,Electronic,No,2.0,No,No,No,Yes,No,No,No,2020
87,Data Breach Web Report  2020,16383,2020-01-22,Dedham Savings,Electronic,No,37.0,No,No,No,Yes,No,No,No,2020
88,Data Breach Web Report  2020,16384,2020-01-22,Dedham Savings,Electronic,No,64.0,No,No,No,Yes,No,No,No,2020
89,Data Breach Web Report  2020,16386,2020-01-22,The Village Bank,Electronic,No,46.0,No,No,No,Yes,No,No,No,2020
90,Data Breach Web Report  2020,16387,2020-01-22,"Transamerica, LLC and its affiliates",Electronic,No,11.0,Yes,No,No,No,Yes,No,No,2020
91,Data Breach Web Report  2020,16388,2020-01-22,The Village Bank,Electronic,No,4.0,No,No,No,Yes,No,No,No,2020
92,Data Breach Web Report  2020,16390,2020-01-22,"REVA, Inc.",Electronic,Yes,7.0,Yes,No,No,No,Yes,No,No,2020
93,Data Breach Web Report  2020,16391,2020-01-22,Rosen Sapperstein & Friedlander LLC,Electronic,Yes,1.0,Yes,No,No,No,Yes,No,No,2020
94,Data Breach Web Report  2020,16395,2020-01-22,Lincoln National Life Insurance Company,Electronic,Yes,87.0,Yes,No,No,No,Yes,No,No,2020
95,Data Breach Web Report  2020,16375,2020-01-22,"American Express Travel Related Services Company, Inc.",Electronic,No,10.0,No,No,No,Yes,No,No,No,2020
96,Data Breach Web Report  2020,16376,2020-01-22,ST MARYS CREDIT UNION,Electronic,No,50.0,No,No,No,Yes,No,No,No,2020
97,Data Breach Web Report  2020,16385,2020-01-23,Dedham Savings,Electronic,No,1.0,No,No,No,Yes,No,No,No,2020
98,Data Breach Web Report  2020,16392,2020-01-24,Salem Five Cents Savings Bank,Electronic,No,2.0,No,No,No,Yes,No,No,No,2020
99,Data Breach Web Report  2020,16394,2020-01-24,Discover Financial Services,Electronic,No,1.0,Yes,Yes,No,No,Yes,No,No,2020
100,Data Breach Web Report  2020,16403,2020-01-24,"Travel Tripper, LLC",Electronic,Yes,1.0,No,No,No,Yes,Yes,No,No,2020
101,Data Breach Web Report  2020,16396,2020-01-24,WINCHESTER SAVINGS BANK,Electronic,No,1.0,No,No,No,Yes,No,No,No,2020
102,Data Breach Web Report  2020,16397,2020-01-24,St. Marys Credit Union,Electronic,No,3.0,No,No,No,Yes,No,No,No,2020
103,Data Breach Web Report  2020,16398,2020-01-24,Main Street Bank,Electronic,No,1.0,No,No,No,Yes,No,No,No,2020
104,Data Breach Web Report  2020,16399,2020-01-24,"AmeriHealth Caritas Louisiana, Inc.",Electronic,Yes,1.0,Yes,No,No,No,Yes,No,No,2020
105,Data Breach Web Report  2020,16400,2020-01-24,Pacific Specialty Insurance Company,Electronic,Yes,1.0,Yes,No,Yes,No,Yes,No,No,2020
106,Data Breach Web Report  2020,16402,2020-01-26,NBKC Bank,Electronic,Yes,24.0,Yes,Yes,No,No,Yes,No,No,2020
107,Data Breach Web Report  2020,16401,2020-01-27,"American Express Travel Related Services Company, Inc",Electronic,No,5.0,No,No,No,Yes,No,No,No,2020
108,Data Breach Web Report  2020,16404,2020-01-27,"American Express Travel Related Services Company, Inc.",Electronic,No,1.0,No,No,No,Yes,No,No,No,2020
109,Data Breach Web Report  2020,16405,2020-01-27,The Village Bank,Electronic,No,1.0,No,No,No,Yes,No,No,No,2020
110,Data Breach Web Report  2020,16406,2020-01-27,Main Street Bank,Electronic,No,66.0,No,No,No,Yes,No,No,No,2020
111,Data Breach Web Report  2020,16407,2020-01-28,St. Marys Credit Union,Electronic,No,1.0,No,No,No,Yes,No,No,No,2020
112,Data Breach Web Report  2020,16408,2020-01-28,Stone Mountain Memorial Association,Electronic,Yes,1.0,Yes,No,No,No,Yes,No,No,2020
113,Data Breach Web Report  2020,16410,2020-01-29,Main Street Bank,Electronic,No,2.0,No,No,No,Yes,No,No,No,2020
114,Data Breach Web Report  2020,16427,2020-01-29,The Stow Company,Electronic,Yes,4.0,Yes,No,No,No,Yes,No,No,2020
115,Data Breach Web Report  2020,16424,2020-01-30,New Studio Architecture,Electronic,Yes,3.0,Yes,Yes,No,No,Yes,No,No,2020
116,Data Breach Web Report  2020,16419,2020-01-30,Mutual One Bank,Electronic,No,1.0,No,No,No,Yes,No,No,No,2020
117,Data Breach Web Report  2020,16421,2020-01-30,"Rainbow Finance, LLC",Electronic,Yes,9.0,Yes,Yes,Yes,No,Yes,No,No,2020
118,Data Breach Web Report  2020,16412,2020-01-30,Ameriprise Financial Inc.,Electronic,Yes,2.0,Yes,No,No,No,Yes,No,No,2020
119,Data Breach Web Report  2020,16413,2020-01-30,"Massey Services, Inc.",Electronic,Yes,21.0,Yes,Yes,Yes,No,Yes,No,No,2020
120,Data Breach Web Report  2020,16414,2020-01-30,Mutual One Bank,Electronic,No,1.0,No,No,No,Yes,No,No,No,2020
121,Data Breach Web Report  2020,16415,2020-01-30,Mutual One Bank,Electronic,No,1.0,No,No,No,Yes,No,No,No,2020
122,Data Breach Web Report  2020,16416,2020-01-30,Mutual One Bank,Electronic,No,1.0,No,No,No,Yes,No,No,No,2020
123,Data Breach Web Report  2020,16417,2020-01-30,Mutual One Bank,Electronic,No,1.0,No,No,No,Yes,No,No,No,2020
124,Data Breach Web Report  2020,16422,2020-01-31,"American Express Travel Related Services Company, Inc",Electronic,No,1.0,No,No,No,Yes,No,No,No,2020
125,Data Breach Web Report  2020,16423,2020-01-31,Public Storage,Electronic,Yes,1.0,No,No,No,Yes,No,No,No,2020
126,Data Breach Web Report  2020,16426,2020-01-31,"William Rawn Associates, Architects, Inc.",Electronic,Yes,20.0,Yes,Yes,Yes,Yes,Yes,No,No,2020
127,Data Breach Web Report  2020,16428,2020-01-31,Webster Five Cents Savings Bank,Electronic,No,4.0,No,No,No,Yes,No,No,No,2020
128,Data Breach Web Report  2020,16429,2020-01-31,Salem Five Cents Savings Bank,Electronic,No,3.0,No,No,No,Yes,No,No,No,2020
129,Data Breach Web Report  2020,16430,2020-01-31,Mutual One Bank,Electronic,No,1.0,No,No,No,Yes,No,No,No,2020
130,Data Breach Web Report  2020,16441,2020-01-31,St Marys Credit Union,Electronic,No,1.0,No,No,No,Yes,No,No,No,2020
131,Data Breach Web Report  2020,16433,2020-01-31,"Golden Entertainment, Inc.",Electronic,Yes,10.0,Yes,No,Yes,Yes,Yes,No,No,2020
132,Data Breach Web Report  2020,16432,2020-02-02,"Fellowship Health Resources, Inc.",Electronic,Yes,1.0,Yes,No,No,No,Yes,No,No,2020
133,Data Breach Web Report  2020,16431,2020-02-03,Winchester Savings Bank,Electronic,No,3.0,No,Yes,No,Yes,No,No,No,2020
134,Data Breach Web Report  2020,16436,2020-02-03,The Village Bank,Electronic,No,5.0,No,No,No,Yes,No,No,No,2020
135,Data Breach Web Report  2020,16439,2020-02-03,American First Finance Inc.,Electronic,Yes,4.0,Yes,Yes,Yes,No,Yes,No,No,2020
136,Data Breach Web Report  2020,16443,2020-02-04,The Village Bank,Electronic,No,1.0,No,No,No,Yes,No,No,No,2020
137,Data Breach Web Report  2020,16444,2020-02-04,Deaf Services Unlimited,Electronic,No,23.0,Yes,Yes,No,No,Yes,No,No,2020
138,Data Breach Web Report  2020,16445,2020-02-04,Personal Touch Holding Corp.,Electronic,No,8468.0,Yes,No,Yes,No,Yes,No,No,2020
139,Data Breach Web Report  2020,16446,2020-02-05,Watertown Savings Bank,Electronic,No,34.0,No,No,No,Yes,No,No,No,2020
140,Data Breach Web Report  2020,16447,2020-02-05,"E.T. Kelly & Associates, LLC",Electronic,Yes,1.0,Yes,No,No,No,Yes,No,No,2020
141,Data Breach Web Report  2020,16449,2020-02-05,"Hanna Andersson, LLC",Electronic,No,12405.0,No,Yes,No,No,Yes,No,No,2020
142,Data Breach Web Report  2020,16451,2020-02-06,"Capital One, N.A.",Electronic,Yes,13.0,Yes,No,No,Yes,Yes,No,No,2020
143,Data Breach Web Report  2020,16452,2020-02-06,"Altice USA, Inc",Electronic,Yes,52.0,Yes,No,Yes,No,Yes,No,No,2020
144,Data Breach Web Report  2020,16453,2020-02-06,Lightspeed Technologies Inc.,Electronic,Yes,1.0,Yes,No,No,No,Yes,No,No,2020
145,Data Breach Web Report  2020,16454,2020-02-06,"Heritage Insurance Service, Inc.",Electronic,Yes,5.0,Yes,No,Yes,No,Yes,No,No,2020
146,Data Breach Web Report  2020,16455,2020-02-07,"Stock & Option Solutions, Inc.",Electronic,Yes,3.0,Yes,No,No,No,Yes,No,No,2020
147,Data Breach Web Report  2020,16456,2020-02-07,National Academy of Sciences,Electronic,Yes,5.0,Yes,No,No,No,Yes,No,No,2020
148,Data Breach Web Report  2020,16457,2020-02-07,Conduent HR Services LLC,Electronic,Yes,8.0,Yes,Yes,No,No,Yes,No,No,2020
149,Data Breach Web Report  2020,16459,2020-02-07,Barnhill Contracting Company,Electronic,Yes,2.0,Yes,No,No,No,Yes,No,No,2020
150,Data Breach Web Report  2020,16461,2020-02-10,St. Mary's Credit Union,Electronic,No,2.0,No,No,No,Yes,No,No,No,2020
151,Data Breach Web Report  2020,16462,2020-02-10,Idaho Central Credit Union,Electronic,No,3.0,Yes,Yes,No,No,Yes,No,No,2020
